Display Name    Country Code	Language Code	Identifier (Source-Name)
#Legend	hk	en	hashtag-legend
Ávvir	no	se	avvir
Awaaz Hindi	ca	hi	awaaz-hindi
Awaaz Punjabi	ca	pa	awaaz-punjabi
Ayr Advertiser	gb	en	ayr-advertiser
Ayrshire Post	gb	en	ayrshire-post
Ayrshire Post (Carrick)	gb	en	ayrshire-post-carrick
Azer News	az	en	azer-news
Azeri Observer	az	en	azeri-observer
Azure	ca	en	azure
B Metro	zw	en	b-metro
Baba & Kleuter	za	af	baba-kleuter
Baby & Kids	tr	tr	baby-and-kids-9y35
Babylon: Exile	us	en	babylon-exile
Babylon: Kingdom	us	en	babylon-kingdom
Babylon: Madman	us	en	babylon-madman
BabyWunsch	de	de	babywunsch-354e
Back on Stage	tr	tr	back-on-stage
Back Street Heroes	gb	en	back-street-heroes
Back to School	ae	en	supplements-back-to-school
Back to School	us	en	back-to-school-yuma-sun
Backyard & Outdoor Living	au	en	backyard-outdoor-living
Backyard Chickens	us	en	backyard-chickens-9yjl
Bad & Küche	de	de	bad-kueche
BAD DESIGN	de	de	bad-design-9lht
BAILA（バイラ）	jp	ja	baila
Bajo El Sol	us	es	bajo-el-sol
Bake & Decorate	gb	en	bake-decorate
Bakersfield Life	us	en	bakersfield-life-9wdy
Baking Heaven	gb	en	baking-heaven
Balises	fr	fr	balises
Balita	ph	tl	balita
Balkan Günlüğü	tr	tr	balkan-gunlugu
Baltimore Sun	us	en	baltimore-sun
Baltimore Sun Sunday	us	en	baltimore-sun-sunday
Bamse	se	sv	bamse
Bamse för de Yngsta	se	sv	bamse-for-de-yngsta
Bamse Sagoserier	se	sv	bamse-sagoserier
Banat News	ph	tl	banat-news
Bandy	se	sv	bandy
Bangkok Post	th	en	bangkok-post
Bangor Mail	gb	en	bangor-mail
Banheiros & Lavabos	br	pt	banheiros-lavabos
Bank Note Reporter	us	en	bank-note-reporter
Banking Frontiers	in	en	banking-froniers
BÁO GIAO THÔNG	vn	vi	bao-giao-thong-9lvu
Báo Nhân Dân	vn	vi	nhan-dan-newspaper
Báo Xây Dựng	vn	vi	bao-giao-thong-9lvu
BAPS Hindu Mandir	ae	en	supplements-baps-hindu-mandir
Barbante	br	pt	barbante
Barbie Magazine (South Africa)	za	en	barbie-magazine-south-africa
Barche	it	en	barche
Barche a Motore	it	it	barche-a-motore
Bariq Al-Dana	kw	ar	bariq-al-dana
Barnens jul	se	sv	barnens-jul
Barnsley Chronicle	gb	en	barnsley-chronicle-9zz3
Barrados em Crochê	br	pt	barrados-em-croche
Barrhead News	gb	en	barrhead-news-saxb
Barron's	us	en	barrons
Bartender	ar	es	bartender
Barullo	ar	es	barullo
BASE Magazine	gb	en	base-magazine
Basque Luxury Magazine	es	es	basque-luxury-magazine
Basta	mx	es	basta
Bath Chronicle	gb	en	bath-chronicle
Battleships of WWII	gb	en	battleships-of-wwii
Bauen Aktuell	de	de	bauen-aktuell
Bay of Plenty Times	nz	en	bay-of-plenty-times
BAZAAR	br	pt	bazaar
Bazaar Kids	br	pt	bazaar-kids
BAZAAR MAN	br	pt	bazaar-man
BAZAAR NOIVA	br	pt	bazaar-noiva
Bazoof! Magazine	ca	en	bazoof-magazine
BBC Countryfile Magazine	gb	en	bbccountryfile-magazine
BBC Gardeners' World Magazine	gb	en	gardeners-world
BBC History Magazine	gb	en	bbc-history-magazine
BBC History Magazine (Turkey)	tr	tr	bbc-history-magazine-turkey
BBC History Speciale	it	it	bbc-history-speciale
BBC Music Magazine	gb	en	bbc-music-magazine
BBC Science Focus	gb	en	focus-science-and-technology
BBC Sky at Night	it	it	bbc-sky-at-night
BBC Sky at Night Magazine	gb	en	sky-at-night-magazine
BBC Top Gear Magazine	gb	en	top-gear-uk
BBC Vetenskap (Sweden)	se	sv	bbc-vetenskap
BBC Vetenskapens vag till lyckan	se	sv	bbc-vetenskapens-vag-till-lyckan
BBC Vitenskapens guide til Jordens Framtid	no	nb	bbc-vitenskapens-guide-til-jordens-framtid
BBC Wildlife Magazine	gb	en	bbc-wildlife-magazine
BBC: På innsiden av Nazi - Tyskland	no	nb	bbc-pa-innsiden-av-nazi-tyskland
BBC: Vitenskapens guide til bedre helse	no	nb	bbc-vitenskapens-guide-til-bedre-helse
BC Business Magazine	ca	en	bc-business-magazine
Be a Boss	fr	fr	be-a-boss
Be Better Magazine	gb	en	be-better-magazine
BE-PAL	jp	ja	be-pal
Beano	gb	en	beano
Bear Creations	au	en	bear-creations
Beat	de	de	beat
Beat (English)	de	en	beat-english
Beat Workzone	de	de	beat-workzone
Beat Workzone (English)	de	en	beat-workzone-english
Beau Monde Style	ro	ro	beau-monde-style-9yr2
Beautiful Bali	id	en	beautiful-bali
Beauty & Wellness	de	de	beauty-wellness
Beauty Uncovered	gb	en	beauty-uncovered
BeautyProf	es	es	beautyprof
Beccacce che passione	it	it	beccacce-che-passione
Beckett Baseball	us	en	beckett-baseball
Beckett Basketball	us	en	beckett-basketball
Beckett Football	us	en	beckett-football
Beckett Hockey	us	en	beckett-hockey
Beckett Sports Card Monthly	us	en	beckett-sports-card-monthly
Beef Country	nz	en	beef-country
Beef!	es	es	beef
Beekeeping 101	us	en	beekeeping-101
Begivenheder som forandrede verden	dk	da	begivenheder-som-forandrede-verden
Beijing Document	cn	zh	beijing-document
Beijing Review	cn	en	beijing-review
Bela Forma	br	pt	bela-forma
Belfast Telegraph	ie	en	belfast-telegraph
Bella	de	de	bella
Bella (UK)	gb	en	bella-uk
Belle	au	en	belle
Belleville News-Democrat	us	en	belleville-news-democrat
Belleville News-Democrat (Sunday)	us	en	belleville-news-democrat-sunday
Benalla Ensign	au	en	benalla-ensign
Bend	us	en	bend-9lgs
Bergens Tidende	no	nb	bergens-tidende
Bergische Morgenpost Wermelskirchen/Hückeswagen/Radevormwald	de	de	bergische-morgenpost-wermelskirchen-huckeswagen-radevormwald
Berita Harian	my	ms	berita-harian-malaysia
Berita Harian	sg	ms	berita-harian-singapore
Berita Minggu	sg	ms	berita-minggu-singapore
Best	gb	en	best
Best 50 Brands	hk	en	best-50-brands
Best Cycling Great Escapes	ca	en	best-cycling-great-escapes-9bk8
Best Friends	us	en	best-friends
Best Health	ca	en	besthealth
Best Home (Canada)	ca	en	best-home-canada
Best Nordic Ski Great Escapes	ca	en	best-nordic-ski-great-escapes-9bjn
Best of British	gb	en	best-of-british
Best of Maison Française	tr	tr	best-of-maison-francaise-9y5f
Best Places to Work in the UAE	ae	en	supplements-best-places-to-work-in-the-uae
Best stays in the Med	es	en	best-stays-in-the-med
Best stays in the Med	es	es	best-stays-in-the-med
Betonart	tr	tr	betonart
Better Homes & Gardens	us	en	better-homes-gardens
Better Homes & Gardens - Cut the Sugar	us	en	better-homes-gardens-cut-the-sugar
Better Homes and Gardens (Australia)	au	en	better-homes-and-gardens-australia
Better Living	ae	en	better-living-uae
Beyond	sg	en	beyond
Beyond Art & Design	it	en	beyond-art-design-9yvy
Beyond Art & Design	it	it	beyond-art-design-9yvy
Beyond Gender	it	it	beyond-gender-4799
Beyond Horizons	sg	en	beyond-horizons
Beyond the Magazine	it	en	beyond-the-magazine
Beyond the Magazine (Chinese)	cn	zh	beyond-the-magazine-chinese
Beyond the Magazine (Russian)	it	ru	beyond-the-magazine-russian
Beyond the Magazine - Burlesque Edition	it	en	beyond-the-magazine-burlesque-edition
Beyond the Magazine Travel & Location	it	it	beyond-the-magazine-travels-locations
Beyond Words	us	en	beyond-words
Biancoscuro Rivista d'Arte	it	it	biancoscuro-rivista-d-arte-9yxd
BIBA	fr	fr	biba
BiblioAsia	sg	en	biblioasia-9y3h
Bichinhos e Bonecas	br	pt	bichinhos-e-bonecas
Bichos em Casa	br	pt	bichos-em-casa
Biciclette d'epoca	it	it	biciclette-d-epoca
Bicycling (South Africa)	za	en	bicycling-south-africa
Bicycling WOW Rides	za	en	bicycling-wow-rides
Bienestar Natural	ar	es	bienestar-natural
Big Bike Magazine	fr	fr	big-bike-magazine
Big rides Sykkeleventyr	no	nb	big-rides-sykkeleventyr
Big Spring Herald	us	en	big-spring-herald
Big Spring Herald Weekend	us	en	big-spring-herald-weekend
Bike	es	es	bike-spain
BIKE (UK)	gb	en	bike-uk
Bike Action	br	pt	bike-action-9ywv
Bike BILD	de	de	bike-bild
Bike India	in	en	bike-india
Bike Life	dk	da	bike-life
BIKE Magazine	gb	en	bike-magazine
Bil Magasinet	dk	da	bil-magasinet-denmark
Bilar	se	sv	bilar
Bild	de	de	bild
Bild am Sonntag	de	de	bild-am-sonntag
BILD Berlin-Brandenburg	de	de	bild-berlin-brandenburg
BILD Bremen	de	de	bild-bremen
BILD Frankfurt	de	de	bild-frankfurt
BILD Hamburg	de	de	bild-hamburg
BILD Hannover	de	de	bild-hannover
BILD Mecklenburg	de	de	bild-mecklenburg
BILD München	de	de	bild-munchen
BILD Nürnberg	de	de	bild-nurnberg
BILD Rheinland - Düsseldorf	de	de	bild-rheinland-dusseldorf
BILD Rheinland - Köln	de	de	bild-rheinland-koln
BILD Ruhr-Ost	de	de	bild-ruhr-ost
BILD Ruhr-West	de	de	bild-ruhr-west
BILD Saarland	de	de	bild-saarland
BILD Sachsen - Dresden	de	de	bild-sachsen-dresden
BILD Sachsen - Leipzig	de	de	bild-sachen-leipzig
BILD Sachsen-Anhalt	de	de	bild-sachsen-anhalt
BILD Stuttgart	de	de	bild-stuttgart
BILD Thüringen	de	de	bild-thuringen
BILD Westfalen	de	de	bild-westfalen
Billboard	us	en	billboard
Billboard Philippines	ph	en	billboard-philippines-9y7z
Bio Magazine	it	it	bio-magazine
Bio Spectrum	in	en	bio-spectrum9guu
Biografías	ar	es	biografias
Biografie di Conoscere la Storia	it	it	biografie-di-conoscere-la-storia
Biology Today	in	en	biology-today
BioMedya	tr	tr	biomedya
BioSpectrum Asia	in	en	biospectrum-asia9gut
Biosphere	ca	fr	biosphere
Bird ID Photo Guides	gb	en	bird-id-photo-guides
Bird Watching (UK)	gb	en	bird-watching-uk
Birds & Blooms	us	en	birds-and-blooms
Birdwatch	gb	en	birdwatch
Birmingham Mail	gb	en	birmingham-mail
Birmingham Post	gb	en	birmingham-post
Bisaya	ph	tl	bisaya
BITEKI（美的）	jp	ja	biteki
BIZ	us	en	biz
Black Country Bugle	gb	en	black-country-bugle
Blackpool Gazette	gb	en	blackpool-gazette
Blairgowrie Advertiser	gb	en	blairgowrie-advertiser
Bli en mastare pa Minecraft-stader	se	sv	bli-en-mastare-pa-minecraft-stader
Bli Med Og Utforsk Vår Fantastiske Planet	no	nb	bli-med-og-utforsk-var-fantastiske-planet
Blic	rs	sr	blic
Blic Zena	rs	sr	blic-zena
Blick	ch	de	blick
Blikk	hu	hu	blikk
Blikk Nők	hu	hu	blikk-nok
Blikk Nők Extra	hu	hu	blikk-nok-extra
Blikk Nők Konyha	hu	hu	blikk-nok-konyha
Blikk Nők Otthon & Kert	hu	hu	blikk-nok-otthon-es-kert
Blodig Begjær	no	nb	blodig-begjaer
Blodigt Begär	se	sv	blodigt-begar
Bloomberg Businessweek (Asia)	us	en	bloomberg-businessweek-asia
Bloomberg Businessweek (Europe)	us	en	bloomberg-businessweek-europe
Bloomberg Businessweek (North America)	us	en	bloomberg-businessweek-north-america
Bloomberg BusinessWeek Mexico	mx	es	bloomberg-businessweek-mexico
Bloomberg Businessweek Vietnam	vn	vi	bloomberg-businessweek-vietnam
Blu-ray Magazin	de	de	blu-ray-magazin
Blue	it	it	blue
Blue Jean	tr	tr	blue-jean
Blueberry Festival	us	en	blueberry-festival
BluPrint	ph	en	bluprint-9xwf
BNI BEYOND	ae	en	bni-beyond
BNI BEYOND	ae	en	supplements-bni-beyond
Bo Bedre	dk	da	bo-bedre-dk
Bo Bedre (Norway)	no	nb	bo-bedre-no
Bo Bedre - Alt om Mad	dk	da	bo-bedre-alt-om-mad
Boat Attitude International	gb	en	boat-attitude-international
Boat Heroes	fr	fr	boat-heroes
Boat International (UK)	gb	en	boat-international-901v
Boat Shopping	br	pt	boat-shopping
Boating	us	en	boatingmagazine
Boating NZ	nz	en	boating-nz
Bobo	id	id	bobo
Bocas	co	es	bocas
Bohusläningen	se	sv	bohuslaningen
Bold	dk	da	bold
Bölge Ekleri	tr	tr	bolge-ekleri
Bolig Magasinet	dk	da	bolig-magasinet
BoligPluss	no	nb	boligpluss
Bolos Decorados	br	pt	bolos-decorados
Bona	za	en	bona-sa
Bonecas de Pano	br	pt	bonecas-de-pano
Bonecas de Pano - Bichos	br	pt	bonecas-de-pano-bichos
Bonecos de Feltro	br	pt	bonecos-de-feltro
Bonita & Estero Magazine	us	en	bonita-estero-magazine
Bons Pais, Bons Filhos	br	pt	bons-pais-bons-filhos
BookReporter	it	it	bookreporter
Border Telegraph	gb	en	border-telegraph
Borgåbladet	fi	sv	borgabladet
Borger News-Herald	us	en	borger-news-herald
Borneo Insider's Guide	bn	en	borneo-insider-s-guide
Bosphorse	tr	en	bosphorse
Boston Common	us	en	boston-common
Boston Herald	us	en	boston-herald
Boston Sunday Globe	us	en	boston-sunday-globe
Boston Target	gb	en	boston-target
Botswana Guardian	bw	en	botswana-guardian
Boukan - le courrier ultramarin	gf	fr	boukan-le-courrier-ultramarin
Bourbon Annual	gb	en	bourbon-annual
Bow International	gb	en	bow-international
Boxing News	gb	en	boxing-news
Boxing News Presents	gb	en	boxing-news-presents
Braai and Rugby 2023	za	en	braai-and-rugby-2023
Braai en Rugby 2023	za	af	braai-en-rugby-2023
Brain Games	us	en	santa-fe-new-mexican-brain-games
Brands Annual	lk	en	brands-annual
Bravo	de	de	bravo-germany
Bravo Sport	de	de	bravo-sport
Bray People	ie	en	bray-people
BRAZIL	ae	en	brazil-757f
Breaking Boundaries	za	en	breaking-boundaries
Breast Cancer Awareness	us	en	breast-cancer-awareness
Breimagazine	nl	nl	breimagazine
Brentwood Gazette	gb	en	brentwood-gazette
Brides	tr	tr	brides-9y26
Brighter Kashmir	in	en	brighter-kashmir
Bristol Post	gb	en	bristol-post
Britain	gb	en	britain
British Archaeology	gb	en	british-archaeology
British Railway Modelling (BRM)	gb	en	british-railway-modelling-brm
British Travel Journal	gb	en	british-travel-journal
Bröd	se	sv	brod
Browski Magazine	za	en	browski-magazine
Bruce Springsteen	se	sv	bruce-springsteen
BRUTUS	jp	ja	brutus
BRUTUS Extra Issue	jp	ja	brutus-extra-issue
BTA Magazine	us	en	bta-magazine
Bücher Magazin	de	de	bucher-magazin
Buen Provecho	hn	es	buen-provecho
Build Home NSW + Qld	au	en	build-home-nsw-qld
Build It	gb	en	build-it
BUNTE Gesundheit	de	de	bunte-gesundheit-9br8
Bunte Magazin	de	de	bunte-magazin-36f8
BUNTE Quarterly	de	de	bunte-quarterly-9br9
Bunte Reisen	de	de	bunte-reisen-9bra
Burda	tr	tr	burda
Burda Aksesuar	tr	tr	burda-aksesuar-9ywq
Burda Bebek	tr	tr	burda-bebek-9yzq
Burda Buyük Beden	tr	tr	burda-buyuk-beden-9yzp
Burda Çocuk	tr	tr	burda-cocuk
Burda Hobi	tr	tr	burda-hobi-9y27
Burda Örgü	tr	tr	burda-orgu-9y8s
Burda Ozel	tr	tr	burda-ozel-9y39
Burda Pratik Dikiş	tr	tr	burda-pratik-dikis-9yw2
Burda Style (Ukraine)	ua	uk	burda-style-ukraine
Burda Best Of	tr	tr	burda-best-of-9y8m
Burlington Free Press	us	en	burlington-free-press
Bursa	ro	ro	bursa
Burton Mail	gb	en	burton-mail
Bush Telegraph	nz	en	bush-telegraph
Business & Technology Review	ae	en	business-technology-review
Business a.m.	ng	en	business-a-m
Business Advantage Papua New Guinea	au	en	business-advantage-papua-new-guinea
Business Card Directory	us	en	business-card-directory
Business Connection	us	en	marshall-county-progress
Business Day	za	en	business-day
Business Day (Ghana)	gh	en	business-day-ghana
Business Day (Nigeria)	ng	en	business-day-nigeria
Business Events News	au	en	business-events-news
Business Franchise Australia and New Zealand	au	en	business-franchise-australia-and-new-zealand-9ik8
Business Franchisor	au	en	business-franchisor-9ik9
Business in Vancouver	ca	en	business-in-vancouver
Business Life Polska	pl	pl	business-life-polska
Business Man Power	au	en	business-man-power
Business Management & Finance Programmes	ae	en	supplements-business-management-finance-programmes
Business News Dergisi	tr	tr	business-news-dergisi
Business Plus	ie	en	business-plus
Business Sphere	in	en	business-sphere
Business Spotlight	de	en	business-spotlight
Business Standard	in	en	business-standard
Business Today	in	en	business-today
Business Traveler (USA)	us	en	business-traveler-usa
Business Traveller	gb	en	business-traveller
Business Traveller (Asia-Pacific)	gb	en	business-traveller-asia-pacific
Business Traveller (Germany)	de	de	business-traveller-germany
Business Traveller (India)	in	en	business-traveller-india
Business Traveller (Middle East)	ae	en	business-traveller-middle-east
Business Traveller (Netherlands)	nl	nl	business-traveller-netherlands
Business Traveller (Poland)	pl	pl	business-traveller-poland
Business Traveller (UK/Europe)	gb	en	business-traveller
Business Traveller 商旅	cn	zh	business-traveller-china
Business Weekly (Zimbabwe)	zw	en	business-weekly-zimbabwe
Business World	ph	en	business-world
BusinessLine (Bangalore)	in	en	businessline-bangalore-9wvu
BusinessLine (Chennai)	in	en	businessline-chennai-9wvv
BusinessLine (Delhi)	in	en	businessline-delhi-9wvw
BusinessLine (Hyderabad)	in	en	businessline-hyderabad-9wvx
BusinessLine (Kolkata)	in	en	businessline-kolkata-9wvy
BusinessLine (Mumbai)	in	en	businessline-mumbai-9wvz
BusinessMirror	ph	en	businessmirror
Buying a song	in	en	buying-a-song-4508
Bygdanytt	no	nb	bygdanytt
Børsen	dk	da	borsen-denmark
Børsen (Denmark)	dk	da	borsen-denmark
C'est votre argent	fr	fr	c-est-votre-argent
C't Magazine	nl	nl	ct-magazine
C.A.R.E.	us	en	care
C10 Builder's Guide	us	en	c10-builder-s-guide
Caça y Çaes de caça	pt	es	casa-u-caes-de-casa
Caça-Palavras	br	pt	caca-palavras-9yb9
Caccia Magazine	it	it	caccia-magazine
Caernarfon Herald	gb	en	caernarfon-herald
Cães e Cia	br	pt	caes-e-cia
Cake Design	br	pt	cake-design
Cake Design Especial	br	pt	cake-design-especial
Calgary Herald	ca	en	calgary-herald
Calgary Sun	ca	en	calgary-sun
Calhoun Times	us	en	calhoun-times
Call & Times	us	en	call-and-times
Cambio16	es	es	cambio16
Cambrian Resident	us	en	cambrian-resident
Cambridge Edition	nz	en	cambridge-edition
Cambridge News	gb	en	cambridge-news
Cammini Guide	it	it	cammini-guide
Campaign Middle East	ae	en	campaign-middle-east
Campaign UK	gb	en	campaign-uk
Campaspe News	au	en	campaspe-news
Campbeltown Courier	gb	en	campbeltown-courier
Campeche Hoy	mx	es	campeche-hoy
Campervan	gb	en	campervan
Camping	gb	en	camping
Campus Review	au	en	campus-review-22h2
Canada's History	ca	en	canada-s-history
Canada's Local Gardener	ca	en	canada-s-local-gardener
Canadian Affairs	ca	en	canadian-affairs-news-compiled-edition
Canadian Business	ca	en	canadian-business
Canadian Cowboy Country	ca	en	canadian-cowboy-country-36bn
Canadian Cycling Magazine	ca	en	canadian-cycling-magazine
Canadian Franchise	ca	en	canadian-franchise-9xwu
Canadian Geographic	ca	en	canadian-geographic
Canadian Geographic - Best of 2023	ca	en	canadian-geographic-best-of-2023
Canadian Geographic - Quiz	ca	en	canadian-geographic-quiz
Canadian Geographic - The Group of Seven Special Edition	ca	en	the-group-of-seven
Canadian Geographic Best Wildlife Photography	ca	en	canadian-geographic-9k85
Canadian Geographic Indigenous Voices	ca	en	canadian-geographic-indigenous-voices
Canadian Geographic Kids	ca	en	canadian-geographic-kids
Canadian Living	ca	en	canadian-living
Canadian Living - Best of Chicken	ca	en	canadian-living-best-of-chicken
Canadian Living SIP#1– Quick Prep Dinners	ca	en	canadian-living-sip1-quick-prep-dinners
Canadian Running	ca	en	canadian-running
Canadian Wildlife	ca	en	canadian-wildlife
Canadian Woodworking	ca	en	canadian-woodworking
CanCam（キャンキャン）	jp	ja	can-cam
Canterbury Bride	nz	en	canterbury-bride
Canterbury Bride	nz	en	canterbury-bride-9xa4
Cantinho do Chef	br	pt	cantinho-do-chef
CAP Santé et Bien-être	fr	fr	cap-sante-bien-etre
Cape Argus	za	en	cape-argus
Cape Argus (PM Edition)	za	en	cape-argus-pm-edition
Cape Breton Post	ca	en	cape-breton-post
Cape Coral Living	us	en	cape-coral-living
Cape Times	za	en	cape-times
Capital	tr	tr	capital-turkey
Capital (Ethiopia)	et	en	capital-ethiopia-9yvj
Capital (Spain)	es	es	capital-901c
Capital Coahuila	mx	es	capital-coahuila
Capital Estado de México	mx	es	capital-estado-de-mexico
Capitol File	us	en	capitol-file
Capitonê	br	pt	capitone
CAPTION Magazine	cl	es	caption-magazine
CAPTION Magazine (English)	cl	en	caption-magazine-english
Car (South Africa)	za	en	car-south-africa
CAR (UK)	gb	en	car-uk
Car and Driver (Spain)	es	es	car-and-driver-spain
Car Mechanics (UK)	gb	en	car-mechanics-uk
Cara (UK)	gb	cy	cara-uk-225t
Caras	ar	es	caras
CARAS (Brazil)	br	pt	caras-brazil
Caras (México)	mx	es	caras-mexico
Caras (Portugal)	pt	pt	caras-9y9a
Caras Decoração (Portugal)	pt	pt	caras-decoracao-portugal-790d
Caras: Protagonistas 2018	ar	es	caras-protagonistas-2018
Caravan	gb	en	caravan
Caravan & Camping with Kids	au	en	caravan-camping-and-holiday-parks-with-kids
Cargo Talk	in	en	cargo-talk
Cargo&Bus	ro	ro	cargo-bus-9ysn
CARIBOU	ca	fr	caribou
Carlitos Bokobokids (English)	es	en	carlitos-bokobokids-english
Carlitos Bokobokids (French)	es	fr	carlitos-bokobokids-french
Carlitos Bokobokids (Spanish)	es	es	carlitos-bokobokids-spanish
Carmarthen Journal	gb	en	carmarthen-journal
Čarovné Slovensko	sk	sk	carovne-slovensko-9efz
Carrick Herald	gb	en	carrick-herald-saxd
Carros Clássicos	br	pt	carros-classicos-brazil
Cărticica practică	ro	ro	carticica-practica-9yp2
Carto	fr	fr	carto
Casa & Ambiente Filhos	br	pt	casa-ambiente-filhos
Casa & Decoração	br	pt	casa-e-decoracao
Casa & Giardino Chic	it	it	casa-giardino-chic
Casa BRUTUS	jp	ja	casa-brutus
Casa BRUTUS Special Issue	jp	ja	casa-brutus-special-issue
